iter	MultiClass
0	1.037731238
1	0.9931983611
2	0.9500865774
3	0.91856604
4	0.8916367816
5	0.8661435484
6	0.8442645655
7	0.8259977274
8	0.8088215798
9	0.7931562723
10	0.7788856517
11	0.7680452655
12	0.7571321622
13	0.7482694767
14	0.7406429775
15	0.732274628
16	0.7262245042
17	0.7201903092
18	0.7141361707
19	0.7079540611
20	0.7025348489
21	0.6978107049
22	0.6946476589
23	0.6907945172
24	0.6884466595
25	0.6847563153
26	0.6812237517
27	0.6789661317
28	0.6771424982
29	0.6745423831
30	0.672894993
31	0.6712979356
32	0.6689779119
33	0.6662668597
34	0.6643147882
35	0.661661667
36	0.6595680212
37	0.6583364668
38	0.656663359
39	0.6541506672
40	0.652234405
41	0.6507584705
42	0.6491290953
43	0.647960246
44	0.6469437519
45	0.6454988665
46	0.6440147867
47	0.6433254618
48	0.6426091804
49	0.6408499445
50	0.640058481
51	0.6390677161
52	0.6375334689
53	0.6364396327
54	0.6350562315
55	0.63331399
56	0.6324042237
57	0.6311354868
58	0.6305315858
59	0.629611668
60	0.6281831349
61	0.6266826762
62	0.6253268375
63	0.6249632937
64	0.6240627183
65	0.6231021276
66	0.6223506766
67	0.6215883793
68	0.6209387805
69	0.6194539854
70	0.6182231817
71	0.6175958443
72	0.6165708589
73	0.615923287
74	0.6153939458
75	0.614179579
76	0.6134498907
77	0.6128038946
78	0.6121517436
79	0.6109454989
80	0.6098856081
81	0.6093467433
82	0.6086220458
83	0.6075550702
84	0.6067211485
85	0.6061423043
86	0.605132295
87	0.6037946146
88	0.6029734101
89	0.6021117408
90	0.6018059047
91	0.6010878943
92	0.6004517554
93	0.5995472844
94	0.5991837759
95	0.5985843765
96	0.5982195556
97	0.5972676976
98	0.5961940701
99	0.5955478184
100	0.5947998757
101	0.5938465774
102	0.5930900835
103	0.592563456
104	0.5917745238
105	0.5910736116
106	0.5903680462
107	0.5898765056
108	0.5887136855
109	0.5878751974
110	0.5870462541
111	0.5857764213
112	0.585284235
113	0.5842032905
114	0.5834554521
115	0.58247504
116	0.5819458832
117	0.5813100187
118	0.580245269
119	0.579679725
120	0.5786377501
121	0.5778029731
122	0.5773969688
123	0.5767153494
124	0.576163001
125	0.5756142441
126	0.5748146493
127	0.5744284631
128	0.5734924647
129	0.572696995
130	0.5719992347
131	0.5713011004
132	0.5707487769
133	0.5702453711
134	0.5698005535
135	0.5691992787
136	0.5686379858
137	0.5675863841
138	0.567194045
139	0.5663649058
140	0.5655837501
141	0.565209552
142	0.5646520656
143	0.5638472746
144	0.5635956022
145	0.562857909
146	0.5619554274
147	0.5614957758
148	0.5606691337
149	0.5601368618
150	0.5597758755
151	0.5589529491
152	0.5581778432
153	0.5574461712
154	0.5564662752
155	0.5558949045
156	0.5552050734
157	0.5540538056
158	0.5534283412
159	0.5528044197
160	0.5524929799
161	0.5515024913
162	0.5510999886
163	0.5503372405
164	0.5496656872
165	0.5488802804
166	0.5484014096
167	0.5479377639
168	0.5473643669
169	0.5468096337
170	0.5462611326
171	0.5457303426
172	0.5451433332
173	0.5449266053
174	0.5442445132
175	0.5436429511
176	0.5429331194
177	0.5423904385
178	0.5417560669
179	0.5410168808
180	0.5401188182
181	0.5396149257
182	0.5391591241
183	0.5380805392
184	0.5376171505
185	0.5371148038
186	0.5366008793
187	0.5360537416
188	0.5351796874
189	0.534808222
190	0.5345387982
191	0.5339119481
192	0.5333954315
193	0.5331335641
194	0.5323275914
195	0.5316709014
196	0.5312065365
197	0.5307412351
198	0.5300419369
199	0.5292997498
200	0.5287122455
201	0.528424119
202	0.5279895969
203	0.5273995835
204	0.5271301685
205	0.5268028606
206	0.5262108207
207	0.5258210306
208	0.5252942079
209	0.524718218
210	0.5245169099
211	0.5243156792
212	0.5237174479
213	0.5229554114
214	0.5222367195
215	0.5218868611
216	0.521488004
217	0.5203774119
218	0.5199272934
219	0.5192745554
220	0.5186589372
221	0.5180271729
222	0.5174904671
223	0.5168163403
224	0.5162104348
225	0.5154968937
226	0.5147654873
227	0.5144480844
228	0.5139088724
229	0.5135563383
230	0.5131393421
231	0.5127665464
232	0.5122892732
233	0.5116746156
234	0.5112718326
235	0.5108046695
236	0.5104787436
237	0.5098970445
238	0.5090868209
239	0.5084005284
240	0.5078593919
241	0.507295039
242	0.5068317816
243	0.5063936069
244	0.5057670054
245	0.5052673155
246	0.504747868
247	0.5042897943
248	0.5039751933
249	0.5037526314
250	0.5031038596
251	0.5026847359
252	0.5021641785
253	0.5017555853
254	0.5011071769
255	0.5008487244
256	0.5005072256
257	0.500238296
258	0.49954488
259	0.4989793797
260	0.4984946408
261	0.4978258011
262	0.4974754516
263	0.4970779319
264	0.4964838907
265	0.4962429499
266	0.4958161457
267	0.4954657437
268	0.494905464
269	0.4945089632
270	0.4942437266
271	0.4936278068
272	0.4934187399
273	0.4927938718
274	0.4924825466
275	0.4921526454
276	0.4917807084
277	0.4914872571
278	0.4906775733
279	0.4898353832
280	0.4893479803
281	0.4887799684
282	0.4883376758
283	0.4878440296
284	0.4874845275
285	0.4870339485
286	0.4865460594
287	0.485978039
288	0.4853321308
289	0.4850419071
290	0.484533843
291	0.4840846745
292	0.4836410364
293	0.4831322936
294	0.4826551446
295	0.4822511449
296	0.4819198321
297	0.481533146
298	0.481305819
299	0.4810722846
300	0.480525141
301	0.4800282268
302	0.4793986601
303	0.4791130441
304	0.47874781
305	0.478344018
306	0.4778589523
307	0.4776074122
308	0.4767946841
309	0.4763415776
310	0.4761064866
311	0.4756013268
312	0.4750686451
313	0.4745857071
314	0.4743051344
315	0.4738717898
316	0.4733368349
317	0.4729603201
318	0.4722900074
319	0.4721292411
320	0.4718493863
321	0.4714691834
322	0.4711048811
323	0.4708740273
324	0.470544885
325	0.4700657588
326	0.4699289578
327	0.4694720825
328	0.4688099648
329	0.4685930655
330	0.4679403227
331	0.4674158738
332	0.4670607976
333	0.4665050283
334	0.4656089194
335	0.4652395649
336	0.4647484672
337	0.4641642565
338	0.4638344347
339	0.4631154657
340	0.462854475
341	0.4623206708
342	0.4620100373
343	0.4617725109
344	0.4612882371
345	0.4610179349
346	0.4604696882
347	0.4601580911
348	0.4597080588
349	0.4592486591
350	0.4585496684
351	0.458089908
352	0.4576587634
353	0.4573918662
354	0.4568321234
355	0.456343467
356	0.4559521529
357	0.4555670241
358	0.4550458965
359	0.454457586
360	0.4542095811
361	0.4539298088
362	0.4535289892
363	0.4532289157
364	0.4528403708
365	0.4526009103
366	0.4523147923
367	0.4519637264
368	0.4516617948
369	0.4512779152
370	0.4508228207
371	0.4506011418
372	0.4503289377
373	0.4497968044
374	0.4492606623
375	0.4487515042
376	0.4484731475
377	0.4481442378
378	0.44795227
379	0.4476833053
380	0.4473074728
381	0.4469890069
382	0.4465474066
383	0.4460892602
384	0.4458040309
385	0.4454564886
386	0.4452029348
387	0.4448384237
388	0.444683832
389	0.4443431138
390	0.4438857379
391	0.4435180372
392	0.4431353868
393	0.4429339413
394	0.4425561132
395	0.4422019464
396	0.4417868201
397	0.4416114642
398	0.4410898243
399	0.4405746657
400	0.4401734353
401	0.4399413752
402	0.4396189575
403	0.4392945417
404	0.439033959
405	0.4388162922
406	0.4383500279
407	0.4378208945
408	0.4374935291
409	0.4371597932
410	0.4367398001
411	0.4365199742
412	0.4362025583
413	0.4359487849
414	0.4357627293
415	0.4353618828
416	0.4349900849
417	0.434659595
418	0.4340250268
419	0.4337952813
420	0.4334101524
421	0.4331145013
422	0.4327971051
423	0.4323630619
424	0.4320883691
425	0.431722034
426	0.4315317433
427	0.4310668803
428	0.4307814868
429	0.4304023732
430	0.4300414859
431	0.4298547743
432	0.4295663062
433	0.4290903066
434	0.4288340207
435	0.4284998147
436	0.4280181746
437	0.4278792299
438	0.4276953728
439	0.4273933229
440	0.4270186862
441	0.4268367413
442	0.426719619
443	0.4262668706
444	0.4257435619
445	0.4255466083
446	0.4251917645
447	0.4247271789
448	0.4243673092
449	0.4240105658
450	0.4236091355
451	0.4231448892
452	0.4228582536
453	0.4226171055
454	0.4224352679
455	0.4221772812
456	0.4216972819
457	0.42141537
458	0.4212500846
459	0.4209995223
460	0.4205150181
461	0.4201604215
462	0.4198662456
463	0.4195774774
464	0.4191778265
465	0.4189754099
466	0.4186398648
467	0.4185285985
468	0.4179899156
469	0.4176868942
470	0.4172794054
471	0.4170108541
472	0.4167626345
473	0.4166221087
474	0.4163399512
475	0.4160845938
476	0.4154345126
477	0.4151782553
478	0.4148762579
479	0.4145750333
480	0.4144582266
481	0.4142560409
482	0.4139041699
483	0.4135355563
484	0.4133210957
485	0.4130914594
486	0.4128248573
487	0.4125483634
488	0.4121848645
489	0.4120123774
490	0.4116496445
491	0.4113041056
492	0.4110097842
493	0.4106440019
494	0.4102647589
495	0.4100773931
496	0.4098537242
497	0.4096147794
498	0.4093674374
499	0.4088990886
500	0.4086480476
501	0.4082570218
502	0.4079288191
503	0.4075071085
504	0.4069170621
505	0.4067349959
506	0.4065394111
507	0.406292278
508	0.4060757473
509	0.4058756461
510	0.4055844369
511	0.4052109243
512	0.4050287628
513	0.4046451475
514	0.4043152101
515	0.4041423296
516	0.4038846969
517	0.4035471459
518	0.4031764971
519	0.4028985892
520	0.402506687
521	0.4022379807
522	0.4019688016
523	0.4017134861
524	0.401502196
525	0.4012651486
526	0.4011386229
527	0.4008551272
528	0.4006779663
529	0.4002534489
530	0.4000436094
531	0.3999266055
532	0.399562128
533	0.3993173963
534	0.3990224322
535	0.3986488612
536	0.3983726025
537	0.3982423981
538	0.3980915917
539	0.3977455081
540	0.3973891893
541	0.3971348618
542	0.3968195962
543	0.3964990395
544	0.3961977424
545	0.3957765441
546	0.3953996476
547	0.3951072701
548	0.3948101797
549	0.3944671719
550	0.3942547478
551	0.3940748794
552	0.3939088734
553	0.3934373024
554	0.3931596851
555	0.3928965733
556	0.3926975288
557	0.3924712766
558	0.3923060867
559	0.3921375999
560	0.3919048234
561	0.3915887381
562	0.3911790195
563	0.3907897831
564	0.3905371868
565	0.3902417241
566	0.3900981537
567	0.3900103318
568	0.3897090248
569	0.3894241061
570	0.3892224534
571	0.388882055
572	0.3886331981
573	0.3883379696
574	0.3881980343
575	0.3879214559
576	0.3876182533
577	0.3872622163
578	0.3870572684
579	0.3867943806
580	0.3865110057
581	0.3862115662
582	0.3859633715
583	0.3854842888
584	0.3853645838
585	0.3851035321
586	0.3849749778
587	0.3845091538
588	0.3842148463
589	0.3838894265
590	0.3836753633
591	0.3835284286
592	0.3832570345
593	0.3830878796
594	0.3827883825
595	0.3824829465
596	0.3823609896
597	0.3822412779
598	0.3820682274
599	0.3817879858
600	0.3815049033
601	0.3811714601
602	0.3810060337
603	0.3808371056
604	0.3806009224
605	0.3804417128
606	0.3801583586
607	0.3798458381
608	0.3794016798
609	0.3792552197
610	0.3789155424
611	0.3786323132
612	0.3784474345
613	0.378245736
614	0.3777975786
615	0.3774128998
616	0.3770890609
617	0.3768381116
618	0.3766434807
619	0.3764256283
620	0.3762648754
621	0.3759799588
622	0.3756150421
623	0.3754992081
624	0.3750847542
625	0.3747801827
626	0.3744315233
627	0.3740623921
628	0.3737742238
629	0.3735191143
630	0.373180017
631	0.3728911773
632	0.3726154622
633	0.3724842824
634	0.3723016444
635	0.3721891122
636	0.3719891344
637	0.3716159408
638	0.371461457
639	0.3711826189
640	0.3709615444
641	0.3706509926
642	0.3704843232
643	0.3701681554
644	0.3700097775
645	0.3697594536
646	0.3693600405
647	0.3692043811
648	0.3688881544
649	0.3687195678
650	0.3684996716
651	0.3682736115
652	0.3680189265
653	0.3678045145
654	0.3676421907
655	0.3675185632
656	0.3672918933
657	0.3670661828
658	0.3668874269
659	0.3666867827
660	0.3663671254
661	0.36620865
662	0.3658047005
663	0.365583061
664	0.3653003225
665	0.3650230528
666	0.3647918381
667	0.3644286623
668	0.3639331337
669	0.363770737
670	0.3634690422
671	0.3632507526
672	0.3630324036
673	0.3628616144
674	0.3626121433
675	0.3622442639
676	0.3620574876
677	0.3618600597
678	0.3617466533
679	0.3615732764
680	0.3614247283
681	0.3612180031
682	0.3609334
683	0.3608334546
684	0.3605386419
685	0.3602819261
686	0.3601250116
687	0.3599289287
688	0.3596735356
689	0.3594135726
690	0.3591726094
691	0.3590723946
692	0.3588535614
693	0.3587257048
694	0.3585243512
695	0.3584087758
696	0.3582076757
697	0.3578848869
698	0.3576592303
699	0.3575680054
700	0.3573247033
701	0.357118618
702	0.3569049212
703	0.3567603033
704	0.3565580455
705	0.356347599
706	0.3562295576
707	0.35608567
708	0.3558355483
709	0.3556855639
710	0.3553807717
711	0.3551517443
712	0.3548332952
713	0.3546665571
714	0.354452686
715	0.3542858923
716	0.3540165482
717	0.3537937928
718	0.3534174349
719	0.3530826275
720	0.3528189535
721	0.3525922266
722	0.3523976136
723	0.3522490652
724	0.35200134
725	0.3518255395
726	0.3517090216
727	0.3515180675
728	0.3512995377
729	0.3511022381
730	0.3510144288
731	0.3507968399
732	0.3504688506
733	0.3503395391
734	0.3502366241
735	0.3499409064
736	0.3496500849
737	0.3494617562
738	0.3492661207
739	0.3490686206
740	0.3488624007
741	0.3486790646
742	0.3485609835
743	0.3483910489
744	0.3482822823
745	0.348146849
746	0.3479387171
747	0.3477622288
748	0.3475882758
749	0.3472252797
750	0.3470724586
751	0.3468434773
752	0.3466106016
753	0.3464158539
754	0.346217265
755	0.3459966686
756	0.3456268998
757	0.3453289024
758	0.345204413
759	0.3450166222
760	0.3447802409
761	0.3445478043
762	0.3444071785
763	0.3441791419
764	0.3439025667
765	0.3436816952
766	0.3435271603
767	0.3433273494
768	0.3429104631
769	0.3428448948
770	0.3425982636
771	0.3421046613
772	0.34190989
773	0.3417019228
774	0.3414460221
775	0.3412876021
776	0.3411271301
777	0.3409578257
778	0.340736791
779	0.3404966068
780	0.340280348
781	0.3402059096
782	0.3400173192
783	0.339651005
784	0.3395240445
785	0.339351644
786	0.3391803346
787	0.3390413897
788	0.3388304601
789	0.3386597777
790	0.3384159973
791	0.3381036395
792	0.3379091688
793	0.3377487033
794	0.3374627036
795	0.3373101107
796	0.337126646
797	0.336911621
798	0.3367072067
799	0.3364484638
800	0.3363243451
801	0.3362310947
802	0.3360035175
803	0.3358627422
804	0.3356748391
805	0.3355411211
806	0.3352373944
807	0.3350291977
808	0.3347432127
809	0.3345807293
810	0.3343952587
811	0.3342764833
812	0.3341678864
813	0.333968182
814	0.3338259454
815	0.3336083301
816	0.3334468648
817	0.3332148716
818	0.3330939561
819	0.3328718162
820	0.3326875012
821	0.3324247322
822	0.3323298653
823	0.3321789914
824	0.3318318358
825	0.3315999169
826	0.3315018519
827	0.3313136914
828	0.331100168
829	0.3309204407
830	0.3307568422
831	0.3306200973
832	0.3304194477
833	0.3302623556
834	0.330077289
835	0.3299850135
836	0.3298188467
837	0.3295958514
838	0.3294641825
839	0.329343689
840	0.3292009834
841	0.3290706724
842	0.3289384596
843	0.328766411
844	0.3284470006
845	0.3282447443
846	0.3280651355
847	0.3278496427
848	0.3276742291
849	0.3274693385
850	0.3272293703
851	0.3270200297
852	0.3268917392
853	0.3268213449
854	0.3266784298
855	0.3264847549
856	0.3263662627
857	0.326213208
858	0.3260221202
859	0.3257967658
860	0.3256395922
861	0.3254966232
862	0.3252714297
863	0.3250258398
864	0.3247970379
865	0.3245518205
866	0.3243717147
867	0.3240283921
868	0.3238115088
869	0.3235793949
870	0.3233696543
871	0.3231924636
872	0.3229454737
873	0.3226540408
874	0.3224503221
875	0.3222727043
876	0.3220664557
877	0.3218644733
878	0.321742057
879	0.3215864429
880	0.321404791
881	0.3211802239
882	0.3211232532
883	0.3208798385
884	0.320747871
885	0.320615857
886	0.3203800903
887	0.320130276
888	0.3199039098
889	0.3197727905
890	0.3196791018
891	0.3193861177
892	0.3193013551
893	0.3190858379
894	0.3189030859
895	0.3186721582
896	0.318484403
897	0.3183690748
898	0.3182306083
899	0.3180515391
900	0.3179737265
901	0.3177874848
902	0.3177068734
903	0.3176223129
904	0.3174948807
905	0.3173461108
906	0.3171077477
907	0.3170114322
908	0.3165860776
909	0.3163015986
910	0.3161140443
911	0.3159622561
912	0.3158125811
913	0.3156541556
914	0.315464672
915	0.315184107
916	0.3150760891
917	0.314795621
918	0.314547518
919	0.3143936705
920	0.314263265
921	0.3141484552
922	0.3140365408
923	0.3139088327
924	0.3137561605
925	0.3136756649
926	0.3135366622
927	0.3133625378
928	0.3131886725
929	0.313036716
930	0.3128956575
931	0.312712905
932	0.3125924323
933	0.3123851658
934	0.3121133083
935	0.3120060305
936	0.3119423788
937	0.311732361
938	0.311499887
939	0.3113352454
940	0.3112311364
941	0.3110017284
942	0.3108738081
943	0.3108255462
944	0.3106428435
945	0.3104517876
946	0.310413368
947	0.3102657264
948	0.3101625881
949	0.3099714179
950	0.3097548913
951	0.3095604954
