iter	Passed	Remaining
0	4	4628
1	8	4180
2	12	4105
3	16	4083
4	20	4140
5	25	4159
6	30	4256
7	34	4245
8	39	4319
9	43	4329
10	48	4364
11	54	4473
12	59	4523
13	64	4545
14	70	4605
15	75	4612
16	79	4616
17	84	4625
18	90	4647
19	94	4641
20	99	4626
21	103	4622
22	109	4650
23	113	4631
24	118	4624
25	123	4627
26	128	4634
27	132	4614
28	137	4602
29	142	4612
30	147	4611
31	152	4613
32	157	4611
33	162	4603
34	166	4601
35	172	4619
36	177	4619
37	182	4618
38	187	4615
39	192	4610
40	196	4589
41	200	4584
42	206	4587
43	211	4584
44	216	4586
45	220	4577
46	225	4572
47	230	4568
48	235	4567
49	240	4571
50	245	4560
51	250	4558
52	254	4552
53	259	4542
54	264	4546
55	270	4567
56	276	4569
57	281	4569
58	286	4572
59	291	4568
60	296	4571
61	302	4578
62	307	4579
63	313	4581
64	318	4583
65	324	4588
66	329	4583
67	334	4585
68	339	4583
69	344	4581
70	350	4583
71	355	4578
72	360	4574
73	365	4574
74	371	4579
75	376	4579
76	382	4583
77	387	4578
78	392	4577
79	398	4578
80	403	4579
81	410	4593
82	415	4595
83	421	4596
84	426	4588
85	431	4582
86	436	4578
87	441	4572
88	446	4566
89	451	4562
90	455	4554
91	461	4555
92	467	4557
93	473	4559
94	478	4555
95	483	4552
96	488	4545
97	493	4539
98	498	4537
99	503	4532
100	508	4522
101	513	4517
102	517	4507
103	522	4501
104	527	4494
105	532	4487
106	536	4481
107	542	4477
108	547	4475
109	552	4466
110	556	4455
111	561	4448
112	566	4443
113	570	4433
114	575	4429
115	580	4422
116	584	4414
117	589	4408
118	595	4405
119	599	4399
120	604	4394
121	610	4390
122	614	4380
123	618	4370
124	623	4365
125	628	4358
126	633	4354
127	638	4347
128	643	4341
129	647	4335
130	652	4330
131	657	4325
132	662	4320
133	667	4313
134	672	4308
135	676	4299
136	680	4289
137	685	4281
138	690	4276
139	695	4271
140	700	4265
141	705	4262
142	711	4265
143	716	4260
144	721	4256
145	727	4252
146	731	4247
147	736	4242
148	741	4237
149	746	4228
150	750	4221
151	755	4213
152	759	4206
153	764	4200
154	770	4198
155	774	4192
156	779	4185
157	783	4177
158	788	4170
159	793	4166
160	798	4161
161	804	4159
162	808	4153
163	813	4147
164	818	4143
165	824	4139
166	828	4133
167	834	4133
168	839	4130
169	844	4123
170	849	4119
171	854	4113
172	859	4107
173	863	4099
174	868	4093
175	872	4086
176	877	4078
177	881	4072
178	887	4068
179	892	4064
180	897	4060
181	902	4057
182	907	4052
183	912	4047
184	918	4045
185	923	4042
186	929	4042
187	935	4038
188	940	4034
189	944	4028
190	950	4027
191	955	4022
192	961	4020
193	966	4015
194	971	4010
195	976	4005
196	981	4001
197	986	3997
198	991	3992
199	997	3990
200	1003	3987
201	1008	3982
202	1013	3978
203	1019	3976
204	1024	3973
205	1029	3968
206	1034	3964
207	1040	3960
208	1045	3955
209	1050	3951
210	1055	3945
211	1060	3942
212	1066	3939
213	1071	3935
214	1076	3931
215	1081	3925
216	1086	3918
217	1090	3911
218	1095	3906
219	1100	3901
220	1104	3894
221	1109	3888
222	1114	3884
223	1119	3879
224	1125	3876
225	1131	3875
226	1136	3869
227	1140	3863
228	1145	3858
229	1150	3851
230	1155	3845
231	1159	3839
232	1165	3835
233	1169	3828
234	1174	3822
235	1179	3816
236	1183	3811
237	1188	3805
238	1193	3800
239	1198	3795
240	1203	3790
241	1209	3787
242	1214	3783
243	1219	3779
244	1225	3775
245	1230	3770
246	1234	3764
247	1240	3760
248	1244	3754
249	1249	3749
250	1254	3744
251	1259	3739
252	1264	3733
253	1269	3728
254	1274	3722
255	1279	3717
256	1283	3710
257	1288	3706
258	1293	3700
259	1298	3694
260	1302	3688
261	1307	3683
262	1312	3678
263	1317	3673
264	1322	3668
265	1327	3663
266	1332	3657
267	1337	3653
268	1343	3649
269	1349	3647
270	1354	3643
271	1359	3638
272	1363	3631
273	1368	3625
274	1373	3620
275	1378	3615
276	1382	3609
277	1387	3604
278	1392	3599
279	1397	3593
280	1402	3588
281	1407	3583
282	1411	3577
283	1416	3572
284	1421	3566
285	1426	3560
286	1430	3554
287	1436	3550
288	1441	3545
289	1445	3539
290	1450	3533
291	1456	3531
292	1460	3525
293	1465	3520
294	1470	3515
295	1475	3510
296	1480	3504
297	1485	3500
298	1490	3495
299	1495	3489
300	1500	3483
301	1505	3478
302	1509	3473
303	1515	3468
304	1520	3464
305	1525	3458
306	1529	3452
307	1533	3445
308	1538	3440
309	1543	3436
310	1549	3433
311	1555	3429
312	1559	3424
313	1564	3418
314	1569	3412
315	1574	3407
316	1578	3401
317	1584	3397
318	1589	3393
319	1594	3388
320	1599	3383
321	1604	3378
322	1609	3373
323	1614	3368
324	1619	3364
325	1624	3359
326	1629	3354
327	1634	3348
328	1639	3343
329	1644	3338
330	1649	3334
331	1654	3328
332	1658	3322
333	1663	3317
334	1668	3312
335	1673	3307
336	1678	3301
337	1683	3297
338	1688	3291
339	1693	3286
340	1698	3281
341	1703	3277
342	1708	3271
343	1713	3267
344	1718	3262
345	1723	3256
346	1728	3252
347	1733	3248
348	1738	3243
349	1744	3238
350	1749	3234
351	1754	3229
352	1759	3225
353	1764	3220
354	1769	3215
355	1774	3209
356	1779	3205
357	1786	3203
358	1791	3198
359	1796	3193
360	1801	3189
361	1806	3184
362	1812	3179
363	1817	3175
364	1829	3183
365	1834	3177
366	1839	3172
367	1844	3168
368	1849	3163
369	1854	3158
370	1859	3153
371	1864	3148
372	1869	3143
373	1875	3139
374	1880	3134
375	1885	3128
376	1890	3123
377	1895	3118
378	1899	3112
379	1904	3107
380	1909	3102
381	1914	3096
382	1918	3090
383	1923	3085
384	1928	3080
385	1933	3075
386	1938	3070
387	1943	3065
388	1948	3060
389	1953	3055
390	1958	3049
391	1962	3044
392	1967	3039
393	1972	3034
394	1977	3029
395	1983	3025
396	1987	3019
397	1992	3013
398	1997	3008
399	2003	3005
400	2008	3000
401	2014	2996
402	2018	2990
403	2023	2984
404	2028	2980
405	2033	2975
406	2038	2970
407	2043	2965
408	2048	2959
409	2053	2955
410	2058	2950
411	2063	2945
412	2068	2940
413	2073	2935
414	2078	2930
415	2083	2924
416	2087	2918
417	2093	2914
418	2098	2910
419	2104	2905
420	2109	2900
421	2113	2894
422	2118	2889
423	2123	2884
424	2128	2879
425	2133	2874
426	2138	2869
427	2143	2864
428	2147	2858
429	2153	2854
430	2158	2849
431	2162	2843
432	2168	2839
433	2173	2834
434	2177	2828
435	2182	2823
436	2188	2818
437	2192	2813
438	2198	2808
439	2203	2804
440	2208	2799
441	2213	2794
442	2218	2789
443	2223	2784
444	2227	2778
445	2232	2773
446	2237	2768
447	2242	2763
448	2248	2758
449	2252	2753
450	2257	2747
451	2262	2743
452	2267	2738
453	2272	2733
454	2277	2728
455	2282	2722
456	2286	2717
457	2291	2711
458	2296	2706
459	2301	2701
460	2306	2697
461	2311	2692
462	2317	2687
463	2322	2682
464	2327	2677
465	2332	2672
466	2337	2667
467	2341	2662
468	2346	2656
469	2351	2651
470	2356	2646
471	2361	2641
472	2366	2636
473	2371	2631
474	2376	2626
475	2381	2621
476	2386	2616
477	2391	2611
478	2396	2606
479	2401	2601
480	2405	2595
481	2410	2590
482	2416	2586
483	2422	2582
484	2427	2577
485	2432	2572
486	2436	2566
487	2441	2561
488	2446	2556
489	2451	2551
490	2456	2546
491	2460	2541
492	2466	2536
493	2470	2530
494	2475	2525
495	2480	2520
496	2485	2515
497	2490	2510
498	2496	2506
499	2501	2501
500	2506	2495
501	2510	2490
502	2515	2485
503	2520	2480
504	2525	2475
505	2530	2470
506	2534	2464
507	2539	2459
508	2545	2455
509	2549	2449
510	2553	2443
511	2559	2439
512	2564	2434
513	2568	2428
514	2573	2423
515	2578	2418
516	2583	2413
517	2589	2409
518	2595	2405
519	2600	2400
520	2606	2396
521	2611	2391
522	2615	2385
523	2621	2381
524	2628	2378
525	2633	2373
526	2639	2368
527	2644	2364
528	2650	2359
529	2655	2355
530	2661	2350
531	2666	2345
532	2671	2340
533	2676	2335
534	2682	2331
535	2687	2326
536	2693	2322
537	2697	2316
538	2703	2311
539	2708	2307
540	2713	2302
541	2718	2297
542	2723	2292
543	2729	2287
544	2734	2283
545	2740	2278
546	2746	2274
547	2751	2269
548	2756	2264
549	2761	2259
550	2766	2254
551	2771	2249
552	2776	2244
553	2782	2239
554	2787	2235
555	2792	2229
556	2796	2224
557	2801	2219
558	2806	2213
559	2811	2208
560	2816	2204
561	2821	2199
562	2826	2194
563	2831	2189
564	2837	2184
565	2841	2179
566	2846	2173
567	2851	2168
568	2856	2163
569	2861	2158
570	2867	2154
571	2872	2149
572	2877	2144
573	2882	2139
574	2887	2134
575	2892	2129
576	2897	2124
577	2902	2119
578	2907	2114
579	2912	2109
580	2918	2104
581	2924	2100
582	2929	2095
583	2934	2090
584	2940	2085
585	2945	2080
586	2950	2075
587	2955	2070
588	2960	2065
589	2965	2060
590	2969	2055
591	2974	2049
592	2979	2044
593	2983	2039
594	2988	2034
595	2993	2028
596	2997	2023
597	3002	2018
598	3007	2013
599	3012	2008
600	3017	2003
601	3021	1997
602	3026	1992
603	3031	1987
604	3036	1982
605	3040	1976
606	3046	1972
607	3051	1967
608	3056	1962
609	3061	1957
610	3066	1952
611	3071	1947
612	3076	1942
613	3082	1937
614	3088	1933
615	3093	1928
616	3099	1923
617	3104	1918
618	3109	1913
619	3114	1908
620	3119	1903
621	3124	1898
622	3129	1893
623	3135	1889
624	3140	1884
625	3145	1879
626	3149	1873
627	3154	1868
628	3159	1863
629	3165	1858
630	3170	1854
631	3175	1848
632	3180	1843
633	3185	1838
634	3190	1833
635	3195	1829
636	3201	1824
637	3206	1819
638	3211	1814
639	3216	1809
640	3221	1804
641	3226	1799
642	3231	1794
643	3236	1789
644	3242	1784
645	3247	1779
646	3252	1774
647	3257	1769
648	3262	1764
649	3266	1759
650	3271	1753
651	3277	1749
652	3281	1743
653	3286	1738
654	3291	1733
655	3296	1728
656	3300	1723
657	3305	1717
658	3310	1712
659	3315	1707
660	3320	1703
661	3325	1698
662	3330	1692
663	3335	1688
664	3341	1683
665	3346	1678
666	3351	1673
667	3356	1668
668	3361	1663
669	3365	1657
670	3370	1652
671	3375	1647
672	3380	1642
673	3385	1637
674	3389	1632
675	3394	1627
676	3399	1621
677	3404	1616
678	3409	1611
679	3414	1606
680	3419	1601
681	3424	1596
682	3429	1591
683	3434	1586
684	3439	1581
685	3444	1576
686	3449	1571
687	3454	1566
688	3459	1561
689	3464	1556
690	3470	1551
691	3475	1547
692	3480	1541
693	3485	1536
694	3490	1531
695	3495	1526
696	3500	1521
697	3505	1516
698	3510	1511
699	3515	1506
700	3520	1501
701	3525	1496
702	3530	1491
703	3535	1486
704	3540	1481
705	3544	1476
706	3549	1471
707	3555	1466
708	3559	1461
709	3564	1456
710	3570	1451
711	3575	1446
712	3580	1441
713	3585	1436
714	3590	1431
715	3594	1425
716	3613	1426
717	3617	1420
718	3622	1415
719	3626	1410
720	3631	1405
721	3635	1399
722	3640	1394
723	3645	1389
724	3651	1385
725	3656	1379
726	3661	1374
727	3667	1370
728	3674	1365
729	3679	1361
730	3684	1355
731	3689	1350
732	3694	1345
733	3700	1341
734	3706	1336
735	3711	1331
736	3717	1326
737	3722	1321
738	3727	1316
739	3733	1311
740	3738	1306
741	3743	1301
742	3749	1296
743	3754	1291
744	3760	1286
745	3765	1282
746	3771	1277
747	3776	1272
748	3781	1267
749	3786	1262
750	3792	1257
751	3797	1252
752	3802	1247
753	3807	1242
754	3813	1237
755	3818	1232
756	3824	1227
757	3829	1222
758	3834	1217
759	3838	1212
760	3844	1207
761	3849	1202
762	3854	1197
763	3860	1192
764	3864	1187
765	3869	1182
766	3874	1177
767	3879	1171
768	3884	1167
769	3891	1162
770	3896	1157
771	3901	1152
772	3906	1147
773	3912	1142
774	3917	1137
775	3923	1132
776	3927	1127
777	3933	1122
778	3938	1117
779	3943	1112
780	3949	1107
781	3953	1102
782	3958	1097
783	3963	1092
784	3968	1086
785	3973	1081
786	3977	1076
787	3982	1071
788	3987	1066
789	3991	1061
790	3996	1056
791	4002	1051
792	4007	1046
793	4012	1040
794	4016	1035
795	4021	1030
796	4026	1025
797	4031	1020
798	4036	1015
799	4042	1010
800	4046	1005
801	4051	1000
802	4056	995
803	4062	990
804	4067	985
805	4072	980
806	4077	975
807	4082	970
808	4088	965
809	4093	960
810	4098	955
811	4103	950
812	4108	944
813	4112	939
814	4117	934
815	4123	929
816	4128	924
817	4133	919
818	4138	914
819	4142	909
820	4148	904
821	4153	899
822	4158	894
823	4163	889
824	4168	884
825	4173	879
826	4178	874
827	4184	869
828	4188	864
829	4193	858
830	4198	853
831	4203	848
832	4208	843
833	4213	838
834	4217	833
835	4222	828
836	4227	823
837	4232	818
838	4237	813
839	4242	808
840	4247	803
841	4252	798
842	4257	792
843	4262	787
844	4267	782
845	4272	777
846	4276	772
847	4282	767
848	4287	762
849	4292	757
850	4297	752
851	4302	747
852	4306	742
853	4311	737
854	4316	731
855	4321	726
856	4326	721
857	4332	716
858	4336	711
859	4341	706
860	4347	701
861	4352	696
862	4356	691
863	4362	686
864	4367	681
865	4372	676
866	4377	671
867	4382	666
868	4387	661
869	4392	656
870	4397	651
871	4402	646
872	4406	641
873	4412	636
874	4417	631
875	4422	626
876	4427	620
877	4432	615
878	4437	610
879	4441	605
880	4447	600
881	4452	595
882	4457	590
883	4462	585
884	4466	580
885	4471	575
886	4476	570
887	4481	565
888	4486	560
889	4491	555
890	4497	550
891	4501	545
892	4506	539
893	4511	534
894	4516	529
895	4520	524
896	4526	519
897	4531	514
898	4535	509
899	4541	504
900	4548	499
901	4553	494
902	4559	489
903	4563	484
904	4568	479
905	4573	474
906	4579	469
907	4583	464
908	4588	459
909	4593	454
910	4598	449
911	4603	444
912	4608	439
913	4613	434
914	4618	429
915	4623	423
916	4627	418
917	4632	413
918	4637	408
919	4642	403
920	4647	398
921	4652	393
